,asset,date,count
125,ETH,2022-01-28,438
126,ETH,2022-01-29,442
127,ETH,2022-01-30,449
128,ETH,2022-01-31,452
129,ETH,2022-02-01,456
130,ETH,2022-02-02,462
131,ETH,2022-02-03,471
132,ETH,2022-02-04,483
133,ETH,2022-02-05,488
134,ETH,2022-02-06,492
135,ETH,2022-02-07,496
136,ETH,2022-02-08,497
137,ETH,2022-02-10,499
138,ETH,2022-02-11,502
139,ETH,2022-02-12,505
140,ETH,2022-02-13,506
141,ETH,2022-02-14,512
142,ETH,2022-02-15,518
143,ETH,2022-02-16,522
144,ETH,2022-02-17,527
145,ETH,2022-02-18,532
146,ETH,2022-02-19,538
147,ETH,2022-02-20,543
148,ETH,2022-02-21,544
149,ETH,2022-02-22,547
150,ETH,2022-02-23,549
151,ETH,2022-02-24,553
152,ETH,2022-02-25,554
153,ETH,2022-02-26,558
154,ETH,2022-02-27,561
155,ETH,2022-02-28,563
156,ETH,2022-03-02,566
157,ETH,2022-03-03,568
158,ETH,2022-03-04,573
159,ETH,2022-03-05,575
160,ETH,2022-03-06,578
161,ETH,2022-03-07,583
162,ETH,2022-03-08,585
163,ETH,2022-03-09,588
164,ETH,2022-03-10,592
165,ETH,2022-03-11,596
166,ETH,2022-03-12,597
167,ETH,2022-03-13,601
168,ETH,2022-03-14,603
169,ETH,2022-03-16,607
170,FTT,2021-12-24,18
171,FTT,2021-12-25,38
172,FTT,2021-12-26,51
173,FTT,2021-12-27,64
174,FTT,2021-12-28,74
175,FTT,2021-12-29,83
176,FTT,2021-12-30,95
177,FTT,2021-12-31,139
178,FTT,2022-01-01,168
179,FTT,2022-01-02,191
180,FTT,2022-01-03,225
181,FTT,2022-01-04,257
182,FTT,2022-01-05,278
183,FTT,2022-01-06,287
184,FTT,2022-01-07,304
185,FTT,2022-01-08,311
186,FTT,2022-01-09,321
187,FTT,2022-01-10,332
188,FTT,2022-01-11,341
189,FTT,2022-01-12,349
190,FTT,2022-01-13,362
191,FTT,2022-01-14,392
192,FTT,2022-01-15,412
193,FTT,2022-01-16,423
194,FTT,2022-01-17,438
195,FTT,2022-01-18,453
196,FTT,2022-01-19,464
197,FTT,2022-01-20,473
198,FTT,2022-01-21,484
199,FTT,2022-01-22,489
200,FTT,2022-01-23,494
201,FTT,2022-01-24,499
202,FTT,2022-01-25,512
203,FTT,2022-01-26,521
204,FTT,2022-01-27,527
205,FTT,2022-01-28,536
206,FTT,2022-01-29,539
207,FTT,2022-01-30,541
208,FTT,2022-01-31,547
209,FTT,2022-02-01,571
210,FTT,2022-02-02,635
211,FTT,2022-02-03,722
212,FTT,2022-02-04,748
213,FTT,2022-02-05,754
214,FTT,2022-02-06,758
215,FTT,2022-02-07,764
216,FTT,2022-02-08,767
217,FTT,2022-02-09,773
218,FTT,2022-02-10,780
219,FTT,2022-02-11,786
220,FTT,2022-02-12,791
221,FTT,2022-02-13,798
222,FTT,2022-02-14,802
223,FTT,2022-02-15,807
224,FTT,2022-02-16,812
225,FTT,2022-02-17,814
226,FTT,2022-02-18,823
227,FTT,2022-02-19,828
228,FTT,2022-02-22,834
229,FTT,2022-02-24,837
230,FTT,2022-02-25,843
231,FTT,2022-02-26,845
232,FTT,2022-02-27,847
233,FTT,2022-02-28,848
234,FTT,2022-03-02,850
