,amount,asset,date,signer,sender
4143,0.005,SOL,2022-01-25,2ypeytuhyPCZthb4WZWacLPRpzooN7zFDCh46q87ph83,2ypeytuhyPCZthb4WZWacLPRpzooN7zFDCh46q87ph83
4144,0.01,SOL,2022-01-25,3DqPDBf1LMRKsFeUogNdH2Pwf7oCJSqcsbKhzzytgXcQ,3DqPDBf1LMRKsFeUogNdH2Pwf7oCJSqcsbKhzzytgXcQ
4145,8.0,SOL,2022-01-25,3FMNXK8anvC1D7tCj3GiBtCEZoTcRZVsSk4r9XUDzzUy,3FMNXK8anvC1D7tCj3GiBtCEZoTcRZVsSk4r9XUDzzUy
4146,0.2,SOL,2022-01-25,3Nc9fpG15aoqzFV3AmgiKgZGJhvLHwpxHyECzLcgytEX,3Nc9fpG15aoqzFV3AmgiKgZGJhvLHwpxHyECzLcgytEX
4147,0.997,SOL,2022-01-25,3QjQ3QN8JsPzghqm5VmadeYpKWAjxvjNEdxFWpALq4Z9,3QjQ3QN8JsPzghqm5VmadeYpKWAjxvjNEdxFWpALq4Z9
4148,1.0,SOL,2022-01-25,3SudFkgJAzVqUNQ3pW7CpUREDay9M9yDF42UepBLo79o,3SudFkgJAzVqUNQ3pW7CpUREDay9M9yDF42UepBLo79o
4149,43.3,SOL,2022-01-25,3eCo6CLNZKHLCfFXvJWQdmwgmxzSg8vhet5gwNK1bYoD,3eCo6CLNZKHLCfFXvJWQdmwgmxzSg8vhet5gwNK1bYoD
4150,10.0,SOL,2022-01-25,3w2cZfSnmAAXrEDLuRsmtuM6p9rTuBn8JBfpFmyE5udn,3w2cZfSnmAAXrEDLuRsmtuM6p9rTuBn8JBfpFmyE5udn
4151,26.041,SOL,2022-01-25,45pYFpfS1XPbL5Ny234Vdvm2eaj7eQeumdAU44fu2SAy,45pYFpfS1XPbL5Ny234Vdvm2eaj7eQeumdAU44fu2SAy
4152,1.0,SOL,2022-01-25,4Mh9nzgwwnxWJLCNBC9Ntep2Lww6nUoALg6jmC6WoeSz,4Mh9nzgwwnxWJLCNBC9Ntep2Lww6nUoALg6jmC6WoeSz
4153,6.0,SOL,2022-01-25,4YQahZDiDXGtb4TiNVVyFxGt3f1sK2q9KRPBQckr9JQV,4YQahZDiDXGtb4TiNVVyFxGt3f1sK2q9KRPBQckr9JQV
4154,0.02,SOL,2022-01-25,4n2mmqo7HZrz23xF8k2FeKnrLrZZVdQ61dz2XmaTUUeH,4n2mmqo7HZrz23xF8k2FeKnrLrZZVdQ61dz2XmaTUUeH
4155,0.03,SOL,2022-01-25,4p7Hfip6fNKybfTn9EQLghdjLcib11GRabFmaVN5qF75,4p7Hfip6fNKybfTn9EQLghdjLcib11GRabFmaVN5qF75
4156,0.02,SOL,2022-01-25,52Fpixjd4WYTgHTJhMAjZM2WfK1FnvgTBvZnTAtdQS3,52Fpixjd4WYTgHTJhMAjZM2WfK1FnvgTBvZnTAtdQS3
4157,3.71,SOL,2022-01-25,54XhyQfijwiG9S3jroV45c3P5aMb3xwKNdx9XiWVrLM4,54XhyQfijwiG9S3jroV45c3P5aMb3xwKNdx9XiWVrLM4
4158,4.0,SOL,2022-01-25,55HALo7xwMgQsziPinNEZkoELuvGRz6VYFFv78xApf8,55HALo7xwMgQsziPinNEZkoELuvGRz6VYFFv78xApf8
4159,15.168,SOL,2022-01-25,5BWVyiFccGkm16gtiknytPQHo79Qw6uHS9tD9LYF67Km,5BWVyiFccGkm16gtiknytPQHo79Qw6uHS9tD9LYF67Km
4160,0.129,SOL,2022-01-25,5K885vCarNcZAzrQsB3nYNToYdNij1RBHYVZNDAS5Sd2,5K885vCarNcZAzrQsB3nYNToYdNij1RBHYVZNDAS5Sd2
4161,0.04,SOL,2022-01-25,5U8bZWAiUuZb8Z56x8GVernUEbz9ffUknshGyRDYhKhm,5U8bZWAiUuZb8Z56x8GVernUEbz9ffUknshGyRDYhKhm
4162,0.1,SOL,2022-01-25,5ZK9P2vZE3QF6gmzx2qeJ56DfTHHDz1CVTvK9zfFEdBZ,5ZK9P2vZE3QF6gmzx2qeJ56DfTHHDz1CVTvK9zfFEdBZ
4163,48.2,SOL,2022-01-25,5ZXyCyd4DWwkmE1cmNSpZKhii22uUrxx5X7XZ2xpLT2C,5ZXyCyd4DWwkmE1cmNSpZKhii22uUrxx5X7XZ2xpLT2C
4164,0.176,SOL,2022-01-25,5iWMuDemF5yWPYrcWrhQxQGhMyZNbMCsBzXbu8tjRUtH,5iWMuDemF5yWPYrcWrhQxQGhMyZNbMCsBzXbu8tjRUtH
4165,167.0,SOL,2022-01-25,5jSHKa6fSuxiPrbtzfu41Ls8KiExzKoukmh75wRvReb2,5jSHKa6fSuxiPrbtzfu41Ls8KiExzKoukmh75wRvReb2
4166,1.0,SOL,2022-01-25,5n6G8fmgTG4CLHUZYjTa2s3uieGraLXTvamPdQKYYJu1,5n6G8fmgTG4CLHUZYjTa2s3uieGraLXTvamPdQKYYJu1
4167,6.5,SOL,2022-01-25,5rSiKKEb67ZsnWuyH8An38mXoyMvsczLxG5AcvvstFdX,5rSiKKEb67ZsnWuyH8An38mXoyMvsczLxG5AcvvstFdX
4168,0.5,SOL,2022-01-25,6BD7TQ4toj2Y1PvhZiFN5FayE93WjNkcYiKSvHCQqKC2,6BD7TQ4toj2Y1PvhZiFN5FayE93WjNkcYiKSvHCQqKC2
4169,0.02,SOL,2022-01-25,6GRSpmwr6pARVEPqfFwZ44irEKscvTUWU1UPYGvdBcB9,6GRSpmwr6pARVEPqfFwZ44irEKscvTUWU1UPYGvdBcB9
4170,0.547,SOL,2022-01-25,6WPYEPzAniTcnJLx9dziKne8aAJGLusdqkQ7M7PmZxa8,6WPYEPzAniTcnJLx9dziKne8aAJGLusdqkQ7M7PmZxa8
4171,0.5,SOL,2022-01-25,6WRWkyXPnb9fgA2KgNWViT5mWC4guDetcyKnFcrroycE,6WRWkyXPnb9fgA2KgNWViT5mWC4guDetcyKnFcrroycE
4172,0.475,SOL,2022-01-25,6Xv4qJFSTB1bbfbTXYVJzn26CeM4qHwMoRXeUMmK2bjX,6Xv4qJFSTB1bbfbTXYVJzn26CeM4qHwMoRXeUMmK2bjX
4173,0.005,SOL,2022-01-25,6gA9xWyexVJhurY3w7N7GxeVfcKET394FjxCJ6MJoHXg,6gA9xWyexVJhurY3w7N7GxeVfcKET394FjxCJ6MJoHXg
4174,0.03,SOL,2022-01-25,6i1cNAJSg9QyWfB36GsSM86kx3ADwTdYQZpEiSeVqjhk,6i1cNAJSg9QyWfB36GsSM86kx3ADwTdYQZpEiSeVqjhk
4175,0.2,SOL,2022-01-25,6tsVDehpUHsMqrhZiJN6qVPhFjQMxGudAqHd6JtZ4jF4,6tsVDehpUHsMqrhZiJN6qVPhFjQMxGudAqHd6JtZ4jF4
4176,0.35,SOL,2022-01-25,6w97DVMJZyhRPegds8G67sDDG8MM8Y2HxHQnmeE82SHg,6w97DVMJZyhRPegds8G67sDDG8MM8Y2HxHQnmeE82SHg
4177,0.011,SOL,2022-01-25,6wT3SXw51Ts3H8wDSGvMEtXbXuEE1ECEjHSeDnLVmtc7,6wT3SXw51Ts3H8wDSGvMEtXbXuEE1ECEjHSeDnLVmtc7
4178,0.05,SOL,2022-01-25,6xD8a1CdGHr2gZFUfW86vbJVoTauL1Q22rP1CK7uk8ys,6xD8a1CdGHr2gZFUfW86vbJVoTauL1Q22rP1CK7uk8ys
4179,100.0,SOL,2022-01-25,7Va8E2vpYruzyeaKdYSxDtf7bcwWf68SMGNPwsoSfYhc,7Va8E2vpYruzyeaKdYSxDtf7bcwWf68SMGNPwsoSfYhc
4180,4.0,SOL,2022-01-25,7WU3cBh42R2nMZooyE6rgQF2ox74f5MX3TzaWfKR8L1q,7WU3cBh42R2nMZooyE6rgQF2ox74f5MX3TzaWfKR8L1q
4181,0.265,SOL,2022-01-25,7aCVGPDPBrhKFfBR2vnZcVzKRDBEFTbGdRri45JtJNW4,7aCVGPDPBrhKFfBR2vnZcVzKRDBEFTbGdRri45JtJNW4
4182,0.185,SOL,2022-01-25,7bx6GSQJg5grgM2BTkd8xGKucqLxf3TPedifkMLUuXVo,7bx6GSQJg5grgM2BTkd8xGKucqLxf3TPedifkMLUuXVo
4183,4.2,SOL,2022-01-25,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN,7cqa7tPYNgWw8eRNDcBosEQxYJ4uKXfDMHFmBhxH3uQN
4184,5.0,SOL,2022-01-25,7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d
4185,0.5,SOL,2022-01-25,7e9aQJNnK98Rn8fcEJB99qF3ZoFquL94YtWg6v7pRKa,7e9aQJNnK98Rn8fcEJB99qF3ZoFquL94YtWg6v7pRKa
4186,11.0,SOL,2022-01-25,7ifJHp1SbpMemRVc12cLZiTCR3XXy5mMft2ETzifyVuS,7ifJHp1SbpMemRVc12cLZiTCR3XXy5mMft2ETzifyVuS
4187,0.138,SOL,2022-01-25,7npZEaAR5FPMjhvbRQY4p9abBdK9j8fk6SnpjoePSMPL,7npZEaAR5FPMjhvbRQY4p9abBdK9j8fk6SnpjoePSMPL
4188,0.3,SOL,2022-01-25,81vwUhCDrFzPWRdqVjFzVPeVUgtPL24ZCt2kZeuTVNJT,81vwUhCDrFzPWRdqVjFzVPeVUgtPL24ZCt2kZeuTVNJT
