,amount,symbol,cash,date,signer,receiver,asset
1645,832.752756,USDC,USDC,2022-02-11T14:34:15Z,79UC69VAj8X9QoWYdmLmJnK7oWZUr9BzRrGGbWxyMYfA,79UC69VAj8X9QoWYdmLmJnK7oWZUr9BzRrGGbWxyMYfA,SOL
1646,1800.940969,USDC,USDC,2022-02-11T14:44:58Z,4HrLBc5oAWNEoNjsCA2rFBfaemN3MmcMo8os1DBGPg85,4HrLBc5oAWNEoNjsCA2rFBfaemN3MmcMo8os1DBGPg85,SOL
1647,792.783967,USDC,USDC,2022-02-11T15:35:47Z,5YeCMgvCCvijiwncSVdUJiv6CHfPXMsnTyh44azqR7wt,5YeCMgvCCvijiwncSVdUJiv6CHfPXMsnTyh44azqR7wt,SOL
1648,2013.1486,USDC,USDC,2022-02-11T15:43:46Z,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,EHWCVPPek2kt512pn6JQDKMdZ7R91gLad24dthVYjUQo,SOL
1649,849.991224,USDC,USDC,2022-02-11T15:44:10Z,B3NyyoWNzyzvpWv1G6a9gZJMjD1sTQBdZojBaH18mNjY,B3NyyoWNzyzvpWv1G6a9gZJMjD1sTQBdZojBaH18mNjY,SOL
1650,93.719744,USDC,USDC,2022-02-11T16:35:02Z,AhZeHFMLyPV9FnZXKuzwWScfvSRBbgZqprkEWi86Lw2S,AhZeHFMLyPV9FnZXKuzwWScfvSRBbgZqprkEWi86Lw2S,SOL
1651,875.401199,USDC,USDC,2022-02-11T16:45:21Z,58bnMU9WZjdPvWZxcHEzNdpSpNWQbVH5Ef5uKbxrJo4Y,58bnMU9WZjdPvWZxcHEzNdpSpNWQbVH5Ef5uKbxrJo4Y,SOL
1652,4205.556787,USDC,USDC,2022-02-11T17:15:42Z,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,SOL
1653,36075.007664,USDC,USDC,2022-02-11T17:15:54Z,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,BTC
1654,100211.577138,USDC,USDC,2022-02-11T17:16:09Z,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,AJcwwPx2oRn34mgCx7Tw8PJaPGqZ3NULfPrdGCft777,ETH
